3,10227152605652,1/1/2008,3:26:00 PM,Tuesday,ORANGE GROVE BLVD,GREEN ST,0,Not Stated,6513175,1875082,Property Damage Only,0,0,1,Traffic Signals and Signs,No,Broadside,Other Motor Vehicle,No Pedestrian Involved,False,21453,Clear,,,Daylight,Functioning,Driver,33,Female,South,Proceeding Straight,,,Passenger Car,,,,,,Lap/Shoulder Harness Used,Driver,47,Female,East,Proceeding Straight,,,Passenger Car,,,,,,Lap/Shoulder Harness Used,6513175.00010414,1875082.0001124
8,10228094001825,1/2/2008,9:40:00 AM,Wednesday,RAYMOND AVE,ORANGE GROVE BLVD,300,North,6516587.91367173,1880147.90066301,Property Damage Only,0,0,1,Unsafe Speed,Misdemeanor,Sideswipe,Other Motor Vehicle,No Pedestrian Involved,False,22350,Clear,,,Daylight,None,Driver,80,Male,South,Proceeding Straight,,,Passenger Car,,,,,,Lap Belt Used,Other,,,North,Stopped In Road,,,Motorcycle,,,,,,,6516587.91355389,1880147.90074173
11,10228155005970,1/2/2008,3:50:00 PM,Wednesday,SIERRA MADRE VILLA AVE,ORANGE GROVE BLVD,0,Not Stated,6536995,1879844,Property Damage Only,0,0,2,Following Too Closely,No,Rear-End,Other Motor Vehicle,No Pedestrian Involved,False,21703,Cloudy,,,Daylight,Functioning,Driver,18,Male,North,Proceeding Straight,,,Passenger Car,,,,,,Lap/Shoulder Harness Used,Driver,35,Female,North,Slowing/Stopping,,,Passenger Car,,,,,,Lap/Shoulder Harness Used,6536995.00003622,1879844.00010282
13,10228175705652,1/2/2008,5:57:00 PM,Wednesday,ORANGE GROVE BLVD,SUNNYSLOPE AVE,0,Not Stated,6534654,1880073,Complaint of Pain,1,0,1,Auto R/W Violation,No,Broadside,Other Motor Vehicle,No Pedestrian Involved,False,21802,Clear,,,Dark - Street Lights,Functioning,Driver,43,Male,North,Proceeding Straight,,,Passenger Car,,,,,,Lap/Shoulder Harness Used,Driver,31,Female,West,Proceeding Straight,,,Passenger Car,,,,,,Lap/Shoulder Harness Used,6534654.00012505,1880072.99997289
14,10229113005970,1/3/2008,11:30:00 AM,Thursday,CRAIG AVE,ORANGE GROVE BLVD,0,Not Stated,6529511,1879988,Property Damage Only,0,0,,Unknown,No,Sideswipe,Other Motor Vehicle,No Pedestrian Involved,False,,Clear,,,Daylight,Functioning,Driver,32,Male,East,Proceeding Straight,,,Truck,,,,,,Lap/Shoulder Harness Used,Driver,37,Female,North,Stopped In Road,,,Passenger Car,,,,,,Lap/Shoulder Harness Used,6529510.99991238,1879988.00014289
15,10229114008980,1/3/2008,11:40:00 AM,Thursday,ORANGE GROVE BLVD,HOLLY ST,0,Not Stated,6512848,1876051,Complaint of Pain,1,0,1,Auto R/W Violation,No,Broadside,Other Motor Vehicle,No Pedestrian Involved,False,21801,Cloudy,,,Daylight,Functioning,Driver,22,Male,West,Making Left Turn,,,Truck,,,,,,Lap/Shoulder Harness Used,Driver,27,Male,East,Proceeding Straight,,,Passenger Car,,,,,,Lap/Shoulder Harness Used,6512848.00010197,1876051.00014289
22,10230113205300,1/4/2008,11:32:00 AM,Friday,ORANGE GROVE BLVD,LOS ROBLES AVE,100,East,6518950.81870166,1879824.31106921,Property Damage Only,0,0,1,Unsafe Starting or Backing,No,Sideswipe,Other Motor Vehicle,No Pedestrian Involved,False,22106,Raining,,,Daylight,Functioning,Driver,38,Male,West,Backing,,,Truck,,,,,,Lap/Shoulder Harness Used,Driver,59,Male,West,Proceeding Straight,,,Pickup Truck,,,,,,Lap/Shoulder Harness Used,6518950.81860498,1879824.31116581
26,10230145007310,1/4/2008,2:50:00 PM,Friday,RAYMOND AVE,ORANGE GROVE BLVD,175,North,6516588.55138507,1880022.90228973,Property Damage Only,0,0,1,Improper Turning,No,Hit Object,Fixed Object,No Pedestrian Involved,False,22100,Cloudy,,,Daylight,Functioning,Driver,42,Male,North,Other Unsafe Turning,,,Passenger Car,,,,,,Lap/Shoulder Harness Used,,,,,,,,,,,,,,,6516588.55134788,1880022.90230407
70,10238133807791,1/12/2008,1:38:00 PM,Saturday,ALLEN AVE,ORANGE GROVE BLVD,0,Not Stated,6527430,1879863,Complaint of Pain,1,0,1,Pedestrian Violation,No,Broadside,Bicycle,No Pedestrian Involved,False,21456,Clear,,,Daylight,Functioning,Bicyclist,36,Female,West,Proceeding Straight,,,Bicycle,,,,,,,Driver,61,Male,South,Proceeding Straight,,,Passenger Car,,,,,,Lap/Shoulder Harness Used,6527430.00013739,1879863.00006481
71,10238142307720,1/12/2008,2:23:00 PM,Saturday,ORANGE GROVE BLVD,RAYMOND AVE,20,West,6516572.00448714,1879847.57636625,Property Damage Only,0,0,1,Improper Turning,No,Head-On,Fixed Object,No Pedestrian Involved,False,22107,Clear,,,Daylight,None,Driver,65,Male,West,Changing Lanes,,,Passenger Car,,,,,,Lap/Shoulder Harness Used,,,,,,,,,,,,,,,6516572.00446497,1879847.57621114
